PlantCode,AppleCode,Exertis_Part_Number,Description,OracleItemStatus,AppleItemStatus,GoodStock,BacklogVMI,OraclePoQty,Safety_Stock,Gross_Fcst_cw,Gross_Fcst_wk1,Gross_Fcst_wk2,Gross_Fcst_wk3,InTransit,OracleInStockQty,ToOrder,DemandQtyExertisToBring215,ToOrderAllLocales,NoOfLocalesToOrder,innerqty,Outerqty,CartonAssignedQty
LU10,HD587ZM/B,TECH21-5086@APP,HD587ZM/B:TECH21 IMPACT SNAP FOR MBA13 - PINK-ZML,Active,Live,78,0,0,46,7,7,7,7,0,545,-32,,0,0,10,100,0
LU10,HD588ZM/B,TECH21-5084@APP,HD588ZM/B:TECH21 IMPACT SNAP FOR MBA11 - PINK-ZML,Active,Live,28,0,0,20,3,3,3,3,0,163,-8,,0,0,10,100,0
LU10,HD589ZM/B,TECH21-5088@APP,HD589ZM/B:TECH21 IMPACT SNAP FOR MBP13 - PINK-ZML,Active,Live,20,0,0,20,3,3,3,3,0,209,0,,0,0,10,100,0
LU10,HD591ZM/B,TECH21-5092@APP,HD591ZM/B:TECH21 IMPACT SNAP FOR MBPR15 - PINK-ZML,Active,Live,29,1,0,13,2,2,2,2,0,297,-15,,0,0,10,100,0
LU10,HD592ZM/B,TECH21-5090@APP ,HD592ZM/B:TECH21 IMPACT SNAP FOR MBPR13 - PINK-ZML,Active,Live,81,2,0,46,7,7,7,7,0,526,-33,,0,0,10,100,0
LU10,HD594ZM/B,TECH21-5085@APP,HD594ZM/B:TECH21 IMPACT SNAP FOR MBA11 - PURPL-ZML,Active,Live,26,0,0,7,1,1,1,1,0,151,-19,,0,0,10,100,0
LU10,HD595ZM/B,TECH21-5087@APP,HD595ZM/B:TECH21 IMPACT SNAP FOR MBA13 - PURPL-ZML,Active,Live,73,1,0,39,6,6,6,6,0,561,-33,,0,0,10,100,0
LU10,HD596ZM/B,TECH21-5091@APP,HD596ZM/B:TECH21 IMPACT SNAP FOR MBPR13 - PRPL-ZML,Active,Live,108,0,0,59,9,9,9,9,0,528,-49,,0,0,10,100,0
LU10,HD597ZM/B,TECH21-5089@APP,HD597ZM/B:TECH21 IMPACT SNAP FOR MBP13 - PURPL-ZML,Active,Live,10,0,0,7,1,1,1,1,0,374,-3,,0,0,10,100,0
LU10,HD598ZM/B,TECH21-5093@APP,HD598ZM/B:TECH21 IMPACT SNAP FOR MBPR15 - PRPL-ZML,Active,Live,30,1,0,33,5,5,5,5,0,184,4,4,4,1,10,100,10
LU10,HE405ZM/A,BRFHE405ZM/A@APP,BRETFORD PSYNC CART 40 IPAD AND MINI-ZML,Active,Live,2,0,0,2,0,0,0,0,0,15,0,,0,0,1,1,0
LU10,HE406ZM/A,BRFHE406ZM/A@APP,BRETFORD PSY STATION 20 IPAD AND MIN-ZML,Active,Live,2,0,1,2,1,1,1,1,0,1,0,,0,0,1,1,0
LU10,HE662LL/B,SANSDSQXSG-064G-GAACA@APP,SANDISK 64GB EXTREME MICROSD CARD-USA,Active,Live,56,3,0,97,15,15,15,15,0,172,44,44,60,3,20,100,60
LU10,HE728ZM/B,TECH215182@APP,Tech21 Anti Glare Impact Shield for iPhone 5s,Active,Live,635,36,0,704,109,109,109,109,0,2781,105,105,292,4,10,100,110
LU10,HF2V2ZM/B,STET2000400@APP, LaCie 2TB Porsche Design P9223 Mobile Drive,Active,Live,139,8,0,168,26,26,26,26,0,1017,37,37,75,4,10,10,40
LU10,HFA22ZM/A,LAC-9000477@AP,LACIE 1TB LBD THUNDERBOLT 2-ZML,Active,Live,6,0,0,7,1,1,1,1,0,1,1,1,7,2,4,4,0
LU10,HFJE2ZM/B,TECH215183@APP,TECH21 PATRIOT IPH5S SMOKE-ZML,Active,Live,17,0,0,13,2,2,2,2,0,149,-4,,0,0,5,50,0
LU10,HFLD2B/B,LOG920-007670@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-GBR,Active,Live,136,3,0,123,19,19,19,19,0,52,-10,,3,1,4,8,0
LU10,HFLD2D/B,LOG920-007664@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-DEU,Active,Live,0,0,0,0,0,0,0,0,0,13,0,,0,0,4,8,0
LU10,HFLD2E/B,LOG920-007668@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-SPA,Active,Live,0,0,0,0,0,0,0,0,0,37,0,,0,0,4,8,0
LU10,HFLD2F/B,LOG920-007665@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-FRA,Active,Live,0,0,0,0,0,0,0,0,0,81,0,,0,0,4,8,0
LU10,HFLD2H/B,LOG920-007669@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-NOB,Active,Live,0,0,0,0,0,0,0,0,0,19,0,,0,0,4,8,0
LU10,HFLD2SM/B,LOG920-007666@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-SWM,Active,Live,0,0,0,0,0,0,0,0,0,18,0,,0,0,4,8,0
LU10,HFLD2T/B,LOG920-007667@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-ITA,Active,Live,0,0,8,0,0,0,0,0,0,9,0,,0,0,4,8,0
